date,game_pk,home_team,away_team,season,margin_edge,side,is_dog,odds_used,ml_units,actual_f5_margin,won,push,profit,bet_type,model_total,consensus_f5_total,edge,actual_f5_total,model_nrfi_prob,market_nrfi_prob,actual_nrfi
2024-09-28,747146,Arizona Diamondbacks,San Diego Padres,2024,0.575,HOME_F5_ML,False,-130.0,1.0,0.0,False,True,0.0,f5_ml,,,,,,,
2024-09-29,746496,Colorado Rockies,Los Angeles Dodgers,2024,1.134,HOME_F5_ML,True,195.0,2.0,1.0,True,False,390.0,f5_ml,,,,,,,
2024-10-01,775345,Houston Astros,Detroit Tigers,2024,0.527,HOME_F5_ML,False,-140.0,1.0,-3.0,False,False,-100.0,f5_ml,,,,,,,
2024-10-01,775340,Milwaukee Brewers,New York Mets,2024,-0.699,AWAY_F5_ML,True,500.0,1.0,-4.0,True,False,500.0,f5_ml,,,,,,,
2024-10-06,775322,Los Angeles Dodgers,San Diego Padres,2024,0.55,HOME_F5_ML,False,-148.0,1.0,-2.0,False,False,-100.0,f5_ml,,,,,,,
2024-10-10,775327,Detroit Tigers,Cleveland Guardians,2024,-1.486,AWAY_F5_ML,False,-128.0,2.0,0.0,False,True,0.0,f5_ml,,,,,,,
2024-10-15,775312,New York Yankees,Cleveland Guardians,2024,-0.872,AWAY_F5_ML,True,145.0,1.5,1.0,False,False,-150.0,f5_ml,,,,,,,
2025-03-27,778551,St. Louis Cardinals,Minnesota Twins,2025,-5.118,AWAY_F5_ML,True,1425.0,3.0,2.0,False,False,-300.0,f5_ml,,,,,,,
2025-03-29,778528,St. Louis Cardinals,Minnesota Twins,2025,0.508,HOME_F5_ML,True,103.0,1.0,0.0,False,True,0.0,f5_ml,,,,,,,
2025-03-29,778530,Houston Astros,New York Mets,2025,0.682,HOME_F5_ML,False,-125.0,1.0,1.0,True,False,80.0,f5_ml,,,,,,,
2025-03-31,778511,Cincinnati Reds,Texas Rangers,2025,-1.77,AWAY_F5_ML,True,750.0,3.0,6.0,False,False,-300.0,f5_ml,,,,,,,
2025-03-31,778509,Miami Marlins,New York Mets,2025,-0.866,AWAY_F5_ML,True,120.0,1.5,-7.0,True,False,180.0,f5_ml,,,,,,,
2025-04-01,778498,Cincinnati Reds,Texas Rangers,2025,0.843,HOME_F5_ML,True,252.0,1.5,-1.0,False,False,-150.0,f5_ml,,,,,,,
2025-04-01,778497,Miami Marlins,New York Mets,2025,-1.574,AWAY_F5_ML,True,350.0,3.0,2.0,False,False,-300.0,f5_ml,,,,,,,
2025-04-03,778466,New York Yankees,Arizona Diamondbacks,2025,0.614,HOME_F5_ML,False,-115.0,1.0,6.0,True,False,87.0,f5_ml,,,,,,,
2025-04-05,778445,Detroit Tigers,Chicago White Sox,2025,0.546,HOME_F5_ML,False,-210.0,1.0,5.0,True,False,48.0,f5_ml,,,,,,,
2025-04-05,778439,Milwaukee Brewers,Cincinnati Reds,2025,0.5,HOME_F5_ML,False,-115.0,1.0,-2.0,False,False,-100.0,f5_ml,,,,,,,
2025-04-06,778433,Detroit Tigers,Chicago White Sox,2025,0.53,HOME_F5_ML,False,-190.0,1.0,-2.0,False,False,-100.0,f5_ml,,,,,,,
2025-04-06,778423,Colorado Rockies,Athletics,2025,-2.259,AWAY_F5_ML,True,-110.0,3.0,3.0,False,False,-300.0,f5_ml,,,,,,,
2025-04-07,778415,Pittsburgh Pirates,St. Louis Cardinals,2025,-0.975,AWAY_F5_ML,True,184.0,1.5,3.0,False,False,-150.0,f5_ml,,,,,,,
2025-04-07,778426,Boston Red Sox,Toronto Blue Jays,2025,0.574,HOME_F5_ML,False,-130.0,1.0,-2.0,False,False,-100.0,f5_ml,,,,,,,
2025-04-08,778408,Pittsburgh Pirates,St. Louis Cardinals,2025,-0.66,AWAY_F5_ML,True,140.0,1.0,-2.0,True,False,140.0,f5_ml,,,,,,,
2025-04-08,778417,Tampa Bay Rays,Los Angeles Angels,2025,0.828,HOME_F5_ML,False,-170.0,1.5,-2.0,False,False,-150.0,f5_ml,,,,,,,
2025-04-08,778404,Boston Red Sox,Toronto Blue Jays,2025,1.559,HOME_F5_ML,False,-225.0,3.0,0.0,False,True,0.0,f5_ml,,,,,,,
2025-04-08,778401,Chicago Cubs,Texas Rangers,2025,-0.51,AWAY_F5_ML,True,130.0,1.0,3.0,False,False,-100.0,f5_ml,,,,,,,
2025-04-08,778396,Arizona Diamondbacks,Baltimore Orioles,2025,-0.686,AWAY_F5_ML,True,104.0,1.0,2.0,False,False,-100.0,f5_ml,,,,,,,
2025-04-09,778391,Cleveland Guardians,Chicago White Sox,2025,-1.62,AWAY_F5_ML,True,420.0,3.0,2.0,False,False,-300.0,f5_ml,,,,,,,
2025-04-09,778388,Kansas City Royals,Minnesota Twins,2025,-0.537,AWAY_F5_ML,True,-115.0,1.0,-1.0,True,False,87.0,f5_ml,,,,,,,
2025-04-10,778378,Cleveland Guardians,Chicago White Sox,2025,0.645,HOME_F5_ML,False,-222.0,1.0,4.0,True,False,45.0,f5_ml,,,,,,,
2025-04-11,778374,Cincinnati Reds,Pittsburgh Pirates,2025,-2.169,AWAY_F5_ML,True,498.0,3.0,2.0,False,False,-300.0,f5_ml,,,,,,,
2025-04-11,778369,Miami Marlins,Washington Nationals,2025,-1.043,AWAY_F5_ML,True,-110.0,2.0,4.0,False,False,-200.0,f5_ml,,,,,,,
2025-04-12,778352,San Diego Padres,Colorado Rockies,2025,0.665,HOME_F5_ML,False,-205.0,1.0,2.0,True,False,49.0,f5_ml,,,,,,,
2025-04-12,778345,Los Angeles Dodgers,Chicago Cubs,2025,0.561,HOME_F5_ML,False,-210.0,1.0,-1.0,False,False,-100.0,f5_ml,,,,,,,
