date,game_pk,home_team,away_team,season,calibrated_pred,market_implied_margin,margin_edge,side,is_dog,odds_used,ml_units,actual_margin,won,push,profit,bet_type,model_total,consensus_total,edge,actual_total
2018-06-16,530464,Toronto Blue Jays,Washington Nationals,2018,-1.398,-2.086,0.688,HOME_ML,True,200.0,1.0,2.0,True,False,200.0,ml,,,,
2018-06-16,530460,Milwaukee Brewers,Philadelphia Phillies,2018,0.68,1.185,-0.505,AWAY_ML,True,147.0,1.0,-3.0,True,False,147.0,ml,,,,
2018-06-16,530459,Arizona Diamondbacks,New York Mets,2018,-0.116,1.386,-1.503,AWAY_ML,True,157.0,2.0,-4.0,True,False,314.0,ml,,,,
2018-06-16,530451,St. Louis Cardinals,Chicago Cubs,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,-3.0,False,False,-100.0,ml,,,,
2018-06-17,530478,New York Yankees,Tampa Bay Rays,2018,1.5,2.086,-0.585,AWAY_ML,True,200.0,1.0,-2.0,True,False,200.0,ml,,,,
2018-06-17,530475,Milwaukee Brewers,Philadelphia Phillies,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,-1.0,False,False,-100.0,ml,,,,
2018-06-17,530470,Kansas City Royals,Houston Astros,2018,-2.804,-2.147,-0.657,AWAY_ML,False,-245.0,1.0,-3.0,True,False,41.0,ml,,,,
2018-06-17,530465,Seattle Mariners,Boston Red Sox,2018,-0.228,-1.02,0.792,HOME_ML,True,138.0,1.0,-6.0,False,False,-100.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-05-15,530032,Washington Nationals,New York Yankees,2018,0.089,-0.567,0.656,HOME_ML,True,118.0,1.0,2.0,True,False,118.0,ml,,,,
2018-06-18,530481,Cleveland Indians,Chicago White Sox,2018,1.179,2.445,-1.266,AWAY_ML,True,231.0,1.5,4.0,False,False,-150.0,ml,,,,
2018-06-18,530480,Los Angeles Angels,Arizona Diamondbacks,2018,-0.104,0.405,-0.509,AWAY_ML,True,111.0,1.0,-3.0,True,False,111.0,ml,,,,
2018-06-18,530487,Houston Astros,Tampa Bay Rays,2018,1.179,2.445,-1.266,AWAY_ML,True,231.0,1.5,1.0,False,False,-150.0,ml,,,,
2018-06-18,530483,San Francisco Giants,Miami Marlins,2018,0.153,1.149,-0.997,AWAY_ML,True,145.0,1.0,-1.0,True,False,145.0,ml,,,,
2018-06-19,530502,Houston Astros,Tampa Bay Rays,2018,1.5,2.114,-0.613,AWAY_ML,True,205.0,1.0,-1.0,True,False,205.0,ml,,,,
2018-06-19,530494,Cincinnati Reds,Detroit Tigers,2018,1.134,0.591,0.543,HOME_ML,False,-132.0,1.0,4.0,True,False,76.0,ml,,,,
2018-06-19,530493,Cleveland Indians,Chicago White Sox,2018,3.029,1.682,1.348,HOME_ML,False,-196.0,1.5,3.0,True,False,77.0,ml,,,,
2018-06-19,530498,Colorado Rockies,New York Mets,2018,0.106,1.22,-1.115,AWAY_ML,True,149.0,1.5,2.0,False,False,-150.0,ml,,,,
2018-06-19,530499,San Diego Padres,Oakland Athletics,2018,0.7,0.104,0.596,HOME_ML,False,-109.0,1.0,-2.0,False,False,-100.0,ml,,,,
2018-06-19,530496,San Francisco Giants,Miami Marlins,2018,0.68,1.185,-0.505,AWAY_ML,True,147.0,1.0,3.0,False,False,-100.0,ml,,,,
2018-06-20,530509,Chicago Cubs,Los Angeles Dodgers,2018,0.809,-0.308,1.117,HOME_ML,True,107.0,1.5,4.0,True,False,161.0,ml,,,,
2018-06-20,530513,San Diego Padres,Oakland Athletics,2018,1.245,0.613,0.631,HOME_ML,False,-133.0,1.0,-8.0,False,False,-100.0,ml,,,,
2018-06-20,530516,Houston Astros,Tampa Bay Rays,2018,1.685,2.323,-0.638,AWAY_ML,True,220.0,1.0,4.0,False,False,-100.0,ml,,,,
2018-06-20,530506,Minnesota Twins,Boston Red Sox,2018,-0.789,-1.353,0.565,HOME_ML,True,155.0,1.0,3.0,True,False,155.0,ml,,,,
2018-06-20,530517,Kansas City Royals,Texas Rangers,2018,0.715,0.131,0.585,HOME_ML,False,-110.0,1.0,-1.0,False,False,-100.0,ml,,,,
2018-06-21,530520,Minnesota Twins,Boston Red Sox,2018,-1.123,-0.589,-0.534,AWAY_ML,False,-129.0,1.0,-7.0,True,False,78.0,ml,,,,
2018-06-21,530522,Colorado Rockies,New York Mets,2018,0.153,1.149,-0.997,AWAY_ML,True,145.0,1.0,2.0,False,False,-100.0,ml,,,,
2018-06-21,530519,Washington Nationals,Baltimore Orioles,2018,1.636,2.488,-0.852,AWAY_ML,True,235.0,1.0,2.0,False,False,-100.0,ml,,,,
2018-06-21,530524,San Francisco Giants,San Diego Padres,2018,-0.276,1.203,-1.478,AWAY_ML,True,148.0,1.5,3.0,False,False,-150.0,ml,,,,
2018-06-22,530530,Cincinnati Reds,Chicago Cubs,2018,-0.062,-0.569,0.507,HOME_ML,True,116.0,1.0,3.0,True,False,116.0,ml,,,,
2018-06-22,530537,Washington Nationals,Philadelphia Phillies,2018,0.271,1.167,-0.896,AWAY_ML,True,146.0,1.0,-10.0,True,False,146.0,ml,,,,
2018-06-22,530531,Cleveland Indians,Detroit Tigers,2018,1.5,2.114,-0.613,AWAY_ML,True,205.0,1.0,10.0,False,False,-100.0,ml,,,,
2018-06-22,530539,Boston Red Sox,Seattle Mariners,2018,1.662,0.589,1.073,HOME_ML,False,-129.0,1.5,4.0,True,False,116.0,ml,,,,
